PlanReference;Location_x;Location_y;level;Strength;Dimensions_l;Dimensions_w;Dimensions_h;Liveload;TypeOfElement;RebarDiameterTop;RebarAmountTop;RebarDiameterBottom;RebarAmountBottom;Condition;img;Rebound.1;Rebound.2;Rebound.3;Rebound.4;Rebound.5;Rebound.6;;;;
O-P/41-46;2400;13200;1;C25/30;3600;1188,00;180;2;HC;12.5;0;12.5;4;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
O-P/47-52;2400;13200;1;C25/30;3600;1188,00;180;2;HC;12.5;0;12.5;4;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
M-P/53-60;2400;13200;1;C25/30;4800;2377,00;180;2;HC;12.5;0;12.5;8;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
M-P/61-68;2400;13200;1;C25/30;4800;2377,00;180;2;HC;12.5;0;12.5;8;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
O-P/69-74;2400;13200;1;C25/30;3600;1188,00;180;2;HC;12.5;0;12.5;4;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
O-P/75-80;2400;13200;1;C25/30;3600;1188,00;180;2;HC;12.5;0;12.5;4;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
M-P/81-86;2400;13200;1;C25/30;3600;2377,00;180;2;HC;12.5;0;12.5;8;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
M-P/87-92;2400;13200;1;C25/30;3600;2377,00;180;2;HC;12.5;0;12.5;8;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
I-L/1-6;2400;13200;1;C25/30;3600;2377,00;180;2;HC;12.5;0;12.5;8;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
I-L/7-12;2400;13200;1;C25/30;3600;2377,00;180;2;HC;12.5;0;12.5;8;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
I-N/13-15;2400;13200;1;C25/30;3600;1777,00;180;2;HC;12.5;0;12.5;6;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
I-N/16-18;2400;13200;1;C25/30;3600;1777,00;180;2;HC;12.5;0;12.5;6;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
I-N/19-21;2400;13200;1;C25/30;3600;1777,00;180;2;HC;12.5;0;12.5;6;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
I-N/22-24;2400;13200;1;C25/30;3600;1777,00;180;2;HC;12.5;0;12.5;6;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
I-L/25-32;2400;13200;1;C25/30;4800;2377,00;180;2;HC;12.5;0;12.5;8;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
I-L/33-40;2400;13200;1;C25/30;4800;2377,00;180;2;HC;12.5;0;12.5;8;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
I-N/41-44;2400;13200;1;C25/30;3600;1777,00;180;2;HC;12.5;0;12.5;6;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
I-N/44-46;2400;13200;1;C25/30;3600;1777,00;180;2;HC;12.5;0;12.5;6;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
I-N/47-49;2400;13200;1;C25/30;3600;1777,00;180;2;HC;12.5;0;12.5;6;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
I-N/50-52;2400;13200;1;C25/30;3600;1777,00;180;2;HC;12.5;0;12.5;6;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
I-L/53-60;2400;13200;1;C25/30;4800;2377,00;180;2;HC;12.5;0;12.5;8;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
I-L/61-68;2400;13200;1;C25/30;4800;2377,00;180;2;HC;12.5;0;12.5;8;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
I-N/69-71;2400;13200;1;C25/30;3600;1777,00;180;2;HC;12.5;0;12.5;6;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
I-N/72-74;2400;13200;1;C25/30;3600;1777,00;180;2;HC;12.5;0;12.5;6;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
I-N/75-77;2400;13200;1;C25/30;3600;1777,00;180;2;HC;12.5;0;12.5;6;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
I-N/78-80;2400;13200;1;C25/30;3600;1777,00;180;2;HC;12.5;0;12.5;6;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
I-L/81-86;2400;13200;1;C25/30;3600;2377,00;180;2;HC;12.5;0;12.5;8;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
I-L/87-92;2400;13200;1;C25/30;3600;2377,00;180;2;HC;12.5;0;12.5;8;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
