id,planReference,location_x,location_y,location_z,strength,dimensions_l,dimensions_w,dimensions_h,liveload,typeOfElement,rebarDiameterTop,rebarAmountTop,rebarDiameterBottom,rebarAmountBottom,weight
44,I-L/25-32,2400.000,13200.000,2590.000,C25 / 30,4800.000,2377.000,180.000,2.000,HC,12.500,0.000,12.500,8.000,
45,I-L/33-40,2400.000,13200.000,2590.000,C25 / 30,4800.000,2377.000,180.000,2.000,HC,12.500,0.000,12.500,8.000,
46,I-N/41-44,2400.000,13200.000,2590.000,C25 / 30,3600.000,1777.000,180.000,2.000,HC,12.500,0.000,12.500,6.000,
47,I-N/44-46,2400.000,13200.000,2590.000,C25 / 30,3600.000,1777.000,180.000,2.000,HC,12.500,0.000,12.500,6.000,
48,I-N/47-49,2400.000,13200.000,2590.000,C25 / 30,3600.000,1777.000,180.000,2.000,HC,12.500,0.000,12.500,6.000,
49,I-N/50-52,2400.000,13200.000,2590.000,C25 / 30,3600.000,1777.000,180.000,2.000,HC,12.500,0.000,12.500,6.000,
50,I-L/53-60,2400.000,13200.000,2590.000,C25 / 30,4800.000,2377.000,180.000,2.000,HC,12.500,0.000,12.500,8.000,
51,I-L/61-68,2400.000,13200.000,2590.000,C25 / 30,4800.000,2377.000,180.000,2.000,HC,12.500,0.000,12.500,8.000,
52,I-N/69-71,2400.000,13200.000,2590.000,C25 / 30,3600.000,1777.000,180.000,2.000,HC,12.500,0.000,12.500,6.000,
53,I-N/72-74,2400.000,13200.000,2590.000,C25 / 30,3600.000,1777.000,180.000,2.000,HC,12.500,0.000,12.500,6.000,
54,I-N/75-77,2400.000,13200.000,2590.000,C25 / 30,3600.000,1777.000,180.000,2.000,HC,12.500,0.000,12.500,6.000,
55,I-N/78-80,2400.000,13200.000,2590.000,C25 / 30,3600.000,1777.000,180.000,2.000,HC,12.500,0.000,12.500,6.000,
56,I-L/81-86,2400.000,13200.000,2590.000,C25 / 30,3600.000,2377.000,180.000,2.000,HC,12.500,0.000,12.500,8.000,
57,I-L/87-92,2400.000,13200.000,2590.000,C25 / 30,3600.000,2377.000,180.000,2.000,HC,12.500,0.000,12.500,8.000,
58,E-H/1-6,2400.000,13200.000,2590.000,C25 / 30,3600.000,2377.000,180.000,2.000,HC,12.500,0.000,12.500,8.000,
59,E-H/7-12,2400.000,13200.000,2590.000,C25 / 30,3600.000,2377.000,180.000,2.000,HC,12.500,0.000,12.500,8.000,
60,E-H/13-18,2400.000,13200.000,2590.000,C25 / 30,3600.000,2377.000,180.000,2.000,HC,12.500,0.000,12.500,8.000,
61,E-H/19-24,2400.000,13200.000,2590.000,C25 / 30,3600.000,2377.000,180.000,2.000,HC,12.500,0.000,12.500,8.000,
62,E-H/25-32,2400.000,13200.000,2590.000,C25 / 30,4800.000,2377.000,180.000,2.000,HC,12.500,0.000,12.500,8.000,
63,E-H/33-40,2400.000,13200.000,2590.000,C25 / 30,4800.000,2377.000,180.000,2.000,HC,12.500,0.000,12.500,8.000,
