PlanReference;Location_x;Location_y;Location_z;Strength;Dimensions_l;Dimensions_w;Dimensions_h;Liveload;TypeOfElement;RebarDiameterTop;RebarAmountTop;RebarDiameterBottom;RebarAmountBottom;Condition;Img
I-N/78-80;46800;6300;1;C25/30;3600;1777;180;2;HC;12.5;0;12.5;6;;
I-L/81-86;49500;5700;1;C25/30;3600;2377;180;2;HC;12.5;0;12.5;8;;
I-L/87-92;53100;5700;1;C25/30;3600;2377;180;2;HC;12.5;0;12.5;8;;
E-H/1-6;1500;3300;1;C25/30;3600;2377;180;2;HC;12.5;0;12.5;8;;
E-H/7-12;5100;3300;1;C25/30;3600;2377;180;2;HC;12.5;0;12.5;8;;
E-H/13-18;8700;3300;1;C25/30;3600;2377;180;2;HC;12.5;0;12.5;8;;
E-H/19-24;12300;3300;1;C25/30;3600;2377;180;2;HC;12.5;0;12.5;8;;
E-H/25-32;16500;3300;1;C25/30;4800;2377;180;2;HC;12.5;0;12.5;8;;
E-H/33-40;21300;3300;1;C25/30;4800;2377;180;2;HC;12.5;0;12.5;8;;
E-H/41-46;25500;3300;1;C25/30;3600;2377;180;2;HC;12.5;0;12.5;8;;
E-H/47-52;29100;3300;1;C25/30;3600;2377;180;2;HC;12.5;0;12.5;8;;
E-H/53-60;33300;3300;1;C25/30;4800;2377;180;2;HC;12.5;0;12.5;8;;
E-H/61-68;38100;3300;1;C25/30;4800;2377;180;2;HC;12.5;0;12.5;8;;
E-H/69-74;42300;3300;1;C25/30;3600;2377;180;2;HC;12.5;0;12.5;8;;
E-H/75-80;45900;3300;1;C25/30;3600;2377;180;2;HC;12.5;0;12.5;8;;
E-H/81-86;49500;3300;1;C25/30;3600;2377;180;2;HC;12.5;0;12.5;8;;
E-H/87-92;53100;3300;1;C25/30;3600;2377;180;2;HC;12.5;0;12.5;8;;
A-D/1-6;1500;900;1;C25/30;3600;2377;180;2;HC;12.5;0;12.5;8;;
A-D/7-12;5100;900;1;C25/30;3600;2377;180;2;HC;12.5;0;12.5;8;;
A-D/13-18;8700;900;1;C25/30;3600;2377;180;2;HC;12.5;0;12.5;8;;
A-D/19-24;12300;900;1;C25/30;3600;2377;180;2;HC;12.5;0;12.5;8;;
A-D/25-32;16500;900;1;C25/30;4800;2377;180;2;HC;12.5;0;12.5;8;;
A-D/33-40;21300;900;1;C25/30;4800;2377;180;2;HC;12.5;0;12.5;8;;
A-D/41-46;25500;900;1;C25/30;3600;2377;180;2;HC;12.5;0;12.5;8;;
A-D/47-52;29100;900;1;C25/30;3600;2377;180;2;HC;12.5;0;12.5;8;;
A-D/53-60;33300;900;1;C25/30;4800;2377;180;2;HC;12.5;0;12.5;8;;
A-D/61-68;38100;900;1;C25/30;4800;2377;180;2;HC;12.5;0;12.5;8;;
A-D/69-74;42300;900;1;C25/30;3600;2377;180;2;HC;12.5;0;12.5;8;;
A-D/75-80;45900;900;1;C25/30;3600;2377;180;2;HC;12.5;0;12.5;8;;
A-D/81-86;49500;900;1;C25/30;3600;2377;180;2;HC;12.5;0;12.5;8;;
A-D/87-92;53100;900;1;C25/30;3600;2377;180;2;HC;12.5;0;12.5;8;;
